lat,lon,type,title,link
54.3693626,18.6314875,sport,Academic Sport Center Gdansk University of Technology,https://www.google.com/maps/place/Academic+Sport+Center+Gdansk+University+of+Technology/data=!4m7!3m6!1s0x46fd749d87c72ddb:0xb66cd390fb981fcd!8m2!3d54.3693626!4d18.6314875!16s%2Fg%2F11f65944js!19sChIJ2y3Hh510_UYRzR-Y-5DTbLY?authuser=0&hl=en&rclk=1
54.3836364,18.6421451,sport,Maritime Workers Sports Club,https://www.google.com/maps/place/Maritime+Workers+Sports+Club/data=!4m7!3m6!1s0x46fd0b4a1ffe9dc7:0x95af023d3608112f!8m2!3d54.3836364!4d18.6421451!16s%2Fg%2F12cnxjhxz!19sChIJx53-H0oL_UYRLxEINj0Cr5U?authuser=0&hl=en&rclk=1
54.3816749,18.6418536,sport,Hedonia Sport,https://www.google.com/maps/place/Hedonia+Sport/data=!4m7!3m6!1s0x46fd7358b390d0b1:0xa371d8174f3e6e85!8m2!3d54.3816749!4d18.6418536!16s%2Fg%2F1pp2x88v4!19sChIJsdCQs1hz_UYRhW4-TxfYcaM?authuser=0&hl=en&rclk=1
54.364395,18.636374,sport,BALTICON-SPORT - Hurtownia sportowa - Gdańsk,https://www.google.com/maps/place/BALTICON-SPORT+-+Hurtownia+sportowa+-+Gda%C5%84sk/data=!4m7!3m6!1s0x46fd737ca43e22b5:0xded94e5be8acec3a!8m2!3d54.364395!4d18.636374!16s%2Fg%2F1tlc6rvq!19sChIJtSI-pHxz_UYROuys6FtO2d4?authuser=0&hl=en&rclk=1
54.390095,18.639225,sport,T29 Sports Pub,https://www.google.com/maps/place/T29+Sports+Pub/data=!4m7!3m6!1s0x46fd74a8dea19313:0x5082204ec5447a6f!8m2!3d54.390095!4d18.639225!16s%2Fg%2F1q62md029!19sChIJE5Oh3qh0_UYRb3pExU4gglA?authuser=0&hl=en&rclk=1
54.3730233,18.5200815,sport,Sportsdirect,https://www.google.com/maps/place/Sportsdirect/data=!4m7!3m6!1s0x46fd7575f3dbe437:0xd8be3cf16de66d73!8m2!3d54.3730233!4d18.5200815!16s%2Fg%2F11cp7g_bgs!19sChIJN-Tb83V1_UYRc23mbfE8vtg?authuser=0&hl=en&rclk=1
54.4015022,18.4965717,sport,Polana Taneczna (Tanzplatz),https://www.google.com/maps/place/Polana+Taneczna+(Tanzplatz)/data=!4m7!3m6!1s0x46fd9f2a6be27683:0x826499a276f2b72f!8m2!3d54.4015022!4d18.4965717!16s%2Fg%2F11jjkbxf_4!19sChIJg3biayqf_UYRL7fydqKZZII?authuser=0&hl=en&rclk=1
54.3523058,18.5249745,sport,Martes Sport,https://www.google.com/maps/place/Martes+Sport/data=!4m7!3m6!1s0x46fd75b9035c197d:0x9b70a5e2dd303d5f!8m2!3d54.3523058!4d18.5249745!16s%2Fg%2F11g6bngkhw!19sChIJfRlcA7l1_UYRXz0w3eKlcJs?authuser=0&hl=en&rclk=1
54.35159,18.5253557,sport,Espina Sport. Sklep sportowy,https://www.google.com/maps/place/Espina+Sport.+Sklep+sportowy/data=!4m7!3m6!1s0x46fd75b8ff4e53c7:0xb2e8916b94c1ab79!8m2!3d54.35159!4d18.5253557!16s%2Fg%2F1hc1y2mmj!19sChIJx1NO_7h1_UYReavBlGuR6LI?authuser=0&hl=en&rclk=1
54.401372,18.5724843,sport,Wysepka - Salon Rowerowy - Hala Olivia,https://www.google.com/maps/place/Wysepka+-+Salon+Rowerowy+-+Hala+Olivia/data=!4m7!3m6!1s0x46fd74ea61d9236b:0x38ba201aa093adb8!8m2!3d54.401372!4d18.5724843!16s%2Fg%2F11cmyx9gch!19sChIJayPZYep0_UYRuK2ToBogujg?authuser=0&hl=en&rclk=1
